# Party control of Congress and the Presidency.
# =============================================
#
# This table was transcribed from the Wikipedia page at http://en.wikipedia.org/wiki/Party_divisions_of_United_States_Congresses on May 24, 2014.
#
# Except modified as follows:
# a) In the 107th Congress where party control changed mid-Congress, I've broken the Congress into multiple rows and indicated the date range accordingly. In the first two rows, party control was decided by the tie-breaking vote of the VP.
# b) Where third-party members caucused with one of the major parties, I've moved their counts into the major parties.
# c) In the 111th Congress, I took the party counts at the end of the Congress. (There were no power changes during the Congress, but the counts changed mid-Congress.)
#
# Note that the "Democrats" and "Republicans" columns represented different parties in early Congresses:
# * In the 1st-3rd Congresses, the "Democrats" in this table represented the "Anti-Administration" party, and in the 4th-18th Congresses the "Democratic-Republican" party.
# * In the 1st-3rd Congresses, the "Republicans" in this table represented the "Pro-Administration" party, in the 3th-18th Congresses the "Federalists", in the 19th-24th Congresses the "National Republicans", and in the 25th-33rd Congresses the "Whigs".
#
Congress	Years	Until	Senate Party	Senate Total	Senate Democrats	Senate Republicans	Senate Others	Senate Vacancies	House Party	House Total	House Democrats	House Republicans	House Others	House Vacancies	President Party	President Name
1	1789-1791		R	26	8	18	0	0	R	65	28	37	0	0	R	George Washington
2	1791-1793		R	30	13	16	0	1	R	69	30	39	0	0	R	George Washington
3	1793-1795		R	30	14	16	0	0	D	105	54	51	0	0	R	George Washington
4	1795-1797		R	32	11	21	0	0	D	106	59	47	0	0	R	George Washington
5	1797-1799		R	32	10	22	0	0	R	106	49	57	0	0	R	John Adams
6	1799-1801		R	32	10	22	0	0	R	106	46	60	0	0	R	John Adams
7	1801-1803		D	34	17	15	0	2	D	107	68	38	0	1	D	Thomas Jefferson
8	1803-1805		D	34	25	9	0	0	D	142	103	39	0	0	D	Thomas Jefferson
9	1805-1807		D	34	27	7	0	0	D	142	114	28	0	0	D	Thomas Jefferson
10	1807-1809		D	34	28	6	0	0	D	142	116	26	0	0	D	Thomas Jefferson
11	1809-1811		D	34	27	7	0	0	D	142	92	50	0	0	D	James Madison
12	1811-1813		D	36	30	6	0	0	D	143	107	36	0	0	D	James Madison
13	1813-1815		D	36	28	8	0	0	D	182	114	68	0	0	D	James Madison
