office,source,source_link,text,link
president,Campus Election Engagement Project,https://campuselect.org/,Presidential Guide,https://campuselect.org/wp-content/uploads/2020/08/Presidential-Nonpartisan-Candidate-Guide.pdf
president,Campus Election Engagement Project,https://campuselect.org/,Presidential Guide – Spanish,https://campuselect.org/guiapresidencialenespan%CC%83ol-presidential-espanol/
sen_AL_2,Campus Election Engagement Project,https://campuselect.org/,Alabama Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/Alabama-Senate-2020-nonpartisan-candidate-guide.pdf
sen_AK_2,Campus Election Engagement Project,https://campuselect.org/,Alaska Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/Alaska-Senate-2020-nonpartisan-candidate-guide.pdf
sen_AZ_3,Campus Election Engagement Project,https://campuselect.org/,Arizona Senate Guide,https://campuselect.org/wp-content/uploads/2020/07/Arizona-Senate-Nonpartisan-Candidate-Guide-2020.pdf
sen_AZ_3,Campus Election Engagement Project,https://campuselect.org/,Arizona Senate Guide – Spanish,https://campuselect.org/wp-content/uploads/2020/08/Arizona-Senate-2020-Espanol.pdf
sen_CO_2,Campus Election Engagement Project,https://campuselect.org/,Colorado Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/Colorado-Senate-2020-Nonpartisan-Candidate-Guide.pdf
sen_CO_2,Campus Election Engagement Project,https://campuselect.org/,Colorado Senate Guide – Spanish,https://campuselect.org/wp-content/uploads/2020/09/Colorado-Senate-2020-Espanol.pdf
sen_GA_2,Campus Election Engagement Project,https://campuselect.org/,Georgia Senate Guide for General Election,https://campuselect.org/wp-content/uploads/2020/09/Georgia-Senate-1-2020-nonpartisan-guide.pdf
sen_GA_3,Campus Election Engagement Project,https://campuselect.org/,Georgia Senate Guide for Special Election,https://campuselect.org/wp-content/uploads/2020/09/Georgia-Senate-2-2020-nonpartisan-guide.pdf
sen_IA_2,Campus Election Engagement Project,https://campuselect.org/,Iowa Senate Guide,https://campuselect.org/wp-content/uploads/2020/08/Iowa-Senate-2020-nonpartisan-guide.pdf
sen_KS_2,Campus Election Engagement Project,https://campuselect.org/,Kansas Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/Kansas-Senate-2020-nonpartisan-candidate-guide.pdf
sen_KY_2,Campus Election Engagement Project,https://campuselect.org/,Kentucky Senate Guide,https://campuselect.org/wp-content/uploads/2020/04/Student-Voter-Guide-for-Kentucky-2020-Primary.pdf
sen_ME_2,Campus Election Engagement Project,https://campuselect.org/,Maine Senate Guide,https://campuselect.org/wp-content/uploads/2020/07/Maine-Senate-2020-nonpartisan-guide.pdf
sen_MI_2,Campus Election Engagement Project,https://campuselect.org/,Michigan Senate Guide,https://campuselect.org/michigan-senate-2020-nonpartisan-guide/
sen_MN_2,Campus Election Engagement Project,https://campuselect.org/,Minnesota Senate Guide,https://campuselect.org/wp-content/uploads/2020/10/Minnesota-Senate-2020-nonpartisan-candidate-guide.pdf
sen_MS_2,Campus Election Engagement Project,https://campuselect.org/,Mississippi Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/Mississippi-Senate-2020-nonpartisan-candidate-guide.pdf
sen_MO_2,Campus Election Engagement Project,https://campuselect.org/,Missouri Governor Guide,https://campuselect.org/wp-content/uploads/2020/09/Missouri-Governor-2020-nonpartisan-candidate-guide.pdf
sen_MT_2,Campus Election Engagement Project,https://campuselect.org/,Montana Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/Montana-Senate-2020-nonpartisan-guide.pdf
sen_NH_2,Campus Election Engagement Project,https://campuselect.org/,New Hampshire Senate Guide,https://campuselect.org/wp-content/uploads/2020/10/Minnesota-Senate-2020-nonpartisan-candidate-guide.pdf
sen_NM_2,Campus Election Engagement Project,https://campuselect.org/,New Mexico Senate Guide,https://campuselect.org/wp-content/uploads/2020/10/New-Mexico-Senate-2020-nonpartisan-candidate-guide.pdf
sen_NC_2,Campus Election Engagement Project,https://campuselect.org/,North Carolina Senate Guide,https://campuselect.org/wp-content/uploads/2020/08/North-Carolina-Senate-2020-nonpartisan-guide.pdf
sen_NC_2,Campus Election Engagement Project,https://campuselect.org/,North Carolina Senate Guide – Spanish,https://campuselect.org/wp-content/uploads/2020/09/North-Carolina-2020-Senate-Espanol.pdf
sen_SC_2,Campus Election Engagement Project,https://campuselect.org/,South Carolina Senate Guide,https://campuselect.org/wp-content/uploads/2020/09/South-Carolina-Senate-2020-nonpartisan-candidate-guide.pdf
sen_TX_2,Campus Election Engagement Project,https://campuselect.org/,Texas Senate Guide,https://campuselect.org/wp-content/uploads/2020/10/Texas-Senate-2020-nonpartisan-candidate-guide.pdf
sen_VA_2,Campus Election Engagement Project,https://campuselect.org/,Virginia Senate Guide,https://campuselect.org/virginia-senate-2020-nonpartisan-candidate-guide/
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,​
